,0,1,2,3,4,5,6
407,forest,tree,tree,branches,leaves,,
408,forest,tree,tree,leaves,,,
409,forest,,,,,,
410,forest,,,,,,
411,forest,,,,,,
412,grass,,,,,,
413,grass,,,,,,
414,grass,,,,,,
415,grass,leaves,,,,,
416,grass,leaves,,,,,
417,grass,leaves,tree,,,,
418,grass,,,,,,
419,grass,,,,,,
420,grass,leaves,,,,,
421,forest,tree,tree,grass,,,
422,grass,,,,,,
423,grass,,,,,,
424,grass,,,,,,
425,grass,,,,,,
426,forest,leaves,trees,,,,
427,grass,,,,,,
428,grass,,,,,,
429,forest,tree,branch,leaves,,,
430,grass,,,,,,
431,grass,,,,,,
432,grass,,,,,,
433,grass,,,,,,
434,grass,,,,,,
435,grass,,,,,,
436,grass,,,,,,
437,grass,,,,,,
438,grass,,,,,,
439,grass,,,,,,
440,leaves,,,,,,
441,grass,,,,,,
442,grass,,,,,,
443,grass,,,,,,
444,grass,,,,,,
445,grass,,,,,,
446,grass,,,,,,
447,branch,tree,,,,,
448,tree,branches,leaves,,,,
449,grass,,,,,,
450,,,,,,,
451,grass,,,,,,
452,grass,water,,,,,
453,forest,grass,,,,,
454,forest,grass,leaves,,,,
455,forest,grass,leaves,,,,
456,forest,grass,leaves,,,,
457,forest,leaves,trees,tree,,,
458,forest,leaves,,,,,
459,grass,,,,,,
460,forest,grass,leaves,,,,
461,grass,,,,,,
462,grass,,,,,,
463,grass,,,,,,
464,grass,trees,,,,,
465,grass,trees,,,,,
466,grass,rock,,,,,
467,grass,rock,,,,,
468,hills,grass,rocks,trees,,,
469,hills,grass,rocks,trees,,,
470,snakeskin,grass,,,,,
471,snakeskin,grass,,,,,
472,snakeskin,grass,,,,,
473,snakeskin,grass,,,,,
474,snakeskin,grass,,,,,
475,snakeskin,grass,,,,,
476,snakeskin,grass,,,,,
477,snakeskin,grass,,,,,
478,snakeskin,grass,,,,,
479,snakeskin,grass,,,,,
480,snakeskin,grass,,,,,
481,snakeskin,,,,,,
