,0,1,2
1192,swimming,,
1193,swimming,,
1194,swimming,,
1195,,,
1196,,,
1197,,,
1198,swimming,,
1199,swimming,,
1200,swimming,,
1201,,,
1202,,,
1203,,,
1204,,,
1205,,,
1206,,,
1207,,,
1208,,,
1209,,,
1210,,,
1211,,,
1212,,,
1213,,,
1214,,,
1215,,,
1216,,,
1217,swimming,,
1218,swimming,,
1219,swimming,,
1220,swimming,,
1221,,,
1222,,,
1223,,,
1224,,,
1225,,,
1226,carrying,,
1227,carrying,,
1228,carrying,,
1229,,,
1230,,,
1231,,,
1232,,,
1233,carrying,,
1234,carrying,,
1235,carrying,,
1236,carrying,,
1237,carrying,,
1238,carrying,,
1239,,,
1240,,,
1241,,,
1242,,,
1243,,,
1244,,,
1245,carrying,,
1246,carrying,,
1247,carrying,,
1248,carrying,,
1249,,,
1250,,,
1251,,,
1252,,,
1253,,,
1254,,,
1255,,,
1256,,,
1257,swimming,,
1258,,,
1259,swimming,,
1260,,,
1261,,,
1262,swimming,,
1263,carrying,,
1264,carrying,,
1265,carrying,,
1266,carrying,,
1267,carrying,,
1268,carrying,,
1269,carrying,,
1270,carrying,,
1271,carrying,,
1272,carrying,,
1273,carrying,,
1274,carrying,,
1275,swimming,,
1276,swimming,,
1277,,,
1278,,,
1279,,,
1280,dropping,,
1281,dropping,,
1282,dropping,,
1283,dropping,,
1284,,,
1285,,,
1286,eating,,
1287,eating,,
1288,eating,,
1289,,,
1290,eating,,
1291,eating,,
1292,,,
1293,,,
1294,,,
1295,,,
1296,,,
1297,swimming,,
1298,eating,,
1299,eating,,
1300,,,
1301,,,
1302,,,
1303,swimming,,
1304,swimming,,
1305,swimming,,
1306,,,
1307,,,
1308,,,
1309,,,
1310,,,
1311,,,
1312,,,
1313,,,
1314,,,
1315,,,
1316,,,
1317,,,
1318,,,
1319,,,
1320,,,
1321,,,
1322,,,
1323,,,
1324,,,
1325,,,
1326,,,
1327,,,
1328,,,
1329,,,
1330,,,
1331,,,
1332,,,
1333,,,
1334,,,
1335,,,
1336,,,
1337,,,
1338,,,
1339,,,
1340,,,
1341,,,
1342,,,
1343,,,
1344,,,
1345,,,
1346,,,
1347,,,
1348,,,
1349,,,
1350,,,
1351,,,
1352,,,
1353,,,
1354,,,
1355,,,
1356,,,
1357,,,
1358,,,
1359,swimming,,
1360,swimming,,
1361,swimming,,
1362,swimming,,
1363,swimming,,
1364,,,
1365,,,
1366,,,
1367,,,
1368,,,
1369,,,
1370,,,
1371,swimming,floating,
1372,swimming,floating,
1373,,,
1374,,,
1375,,,
1376,swimming,,
1377,swimming,,
1378,swimming,,
1379,swimming,,
1380,swimming,,
1381,looking,,
1382,swimming,,
1383,swimming,,
1384,swimming,,
1385,swimming,,
1386,swimming,,
1387,swimming,,
1388,swimming,,
1389,swimming,,
1390,swimming,,
1391,swimming,struggling,
1392,swimming,struggling,
1393,swimming,struggling,
1394,looking,,
1395,looking,,
1396,struggling,,
1397,eating,swimming,
1398,eating,swimming,
1399,eating,swimming,
1400,eating,swimming,
1401,eating,swimming,
1402,eating,swimming,
1403,eating,swimming,flying
1404,eating,swimming,flying
1405,looking,,
1406,eating,swimming,
1407,eating,swimming,
1408,eating,swimming,
1409,eating,swimming,
1410,eating,swimming,
1411,eating,swimming,
1412,eating,swimming,
1413,,,
1414,,,
1415,eating,swimming,flying
1416,eating,swimming,flying
1417,eating,swimming,
1418,eating,swimming,
1419,eating,swimming,
1420,eating,swimming,
1421,,,
1422,,,
1423,,,
1424,,,
1425,,,
1426,,,
