,0,1,2,3
699,whale,,,
700,whale,bird,,
701,whale,bird,,
702,whale,bird,,
703,whale,,,
704,whale,,,
705,whale,,,
706,whale,,,
707,whale,,,
708,whale,,,
709,whale,,,
710,,,,
711,,,,
712,,,,
713,,,,
714,fish,,,
715,fish,,,
716,fish,,,
717,swordfish,,,
718,fish,,,
719,swordfish,,,
720,swordfish,,,
721,fish,,,
722,swordfish,fish,,
723,swordfish,fish,,
724,swordfish,fish,,
725,swordfish,fish,,
726,swordfish,fish,,
727,fish,,,
728,fish,,,
729,fish,,,
730,fish,,,
731,fish,,,
732,fish,,,
733,fish,,,
734,fish,,,
735,fish,,,
736,fish,,,
737,fish,,,
738,swordfish,,,
739,swordfish,,,
740,fish,,,
741,fish,,,
742,fish,,,
743,fish,,,
744,fish,,,
745,fish,,,
746,fish,,,
747,fish,,,
748,fish,,,
749,fish,,,
750,fish,,,
751,fish,,,
752,fish,,,
753,,,,
754,,,,
755,,,,
756,,,,
757,,,,
758,,,,
759,,,,
760,,,,
761,,,,
762,,,,
763,,,,
764,,,,
765,,,,
766,,,,
767,,,,
768,,,,
769,,,,
770,,,,
771,monkey,capuchin,,
772,monkey,capuchin,,
773,monkey,capuchin,,
774,monkey,capuchin,,
775,monkey,capuchin,,
776,monkey,capuchin,,
777,monkey,capuchin,,
778,,,,
779,,,,
780,,,,
781,,,,
782,monkey,capuchin,,
783,monkey,capuchin,,
784,monkey,capuchin,,
785,monkey,capuchin,,
786,monkey,capuchin,,
787,monkey,capuchin,,
788,monkey,capuchin,,
789,monkey,capuchin,,
790,monkey,capuchin,,
791,monkeys,capuchin,,
792,monkeys,capuchin,,
793,monkey,,,
794,monkey,capuchin,,
795,monkey,capuchin,,
796,monkey,capuchin,,
797,,,,
798,,,,
799,monkey,capuchin,,
800,,,,
801,,,,
802,,,,
803,monkey,capuchin,,
804,monkey,capuchin,,
805,monkey,capuchin,,
806,monkey,capuchin,,
807,monkey,capuchin,,
808,monkey,capuchin,,
809,,,,
810,,,,
811,,,,
812,monkey,capuchin,,
813,monkey,capuchin,,
814,monkey,capuchin,,
815,monkey,capuchin,,
816,monkey,hands,,
817,monkey,hands,,
818,monkey,hands,,
819,monkey,hands,,
820,monkey,hands,,
821,monkey,hands,,
822,monkey,,,
823,monkey,,,
824,monkey,,,
825,monkey,,,
826,monkey,,,
827,monkey,,,
828,monkey,,,
829,monkey,,,
830,monkey,,,
831,monkey,,,
832,monkey,,,
833,,,,
834,monkey,head,,
835,monkey,head,,
836,monkey,,,
837,monkey,,,
838,monkey,,,
839,monkeys,,,
840,monkey,,,
841,monkey,,,
842,monkey,,,
843,monkey,,,
844,monkey,,,
845,monkey,,,
846,monkey,,,
847,monkey,,,
848,monkey,,,
849,monkey,,,
850,monkey,,,
851,monkey,,,
852,monkey,,,
853,monkey,,,
854,monkey,,,
855,monkey,,,
856,monkey,,,
857,monkey,,,
858,monkeys,,,
859,monkeys,,,
860,monkeys,,,
861,monkeys,,,
862,monkey,,,
863,,,,
864,,,,
865,,,,
866,,,,
867,,,,
868,,,,
869,,,,
870,,,,
871,,,,
872,,,,
873,hair,,,
874,hair,,,
875,hair,,,
876,hair,,,
877,fly,,,
878,fly,,,
879,fly,,,
880,fly,,,
881,fly,,,
882,hair,,,
883,fly,legs,,
884,fly,legs,,
885,fly,,,
886,fly,hair,,
887,fly,hair,,
888,fly,hair,,
889,fly,hair,,
890,fly,,,
891,fly,,,
892,fly,,,
893,fly,,,
894,fly,,,
895,fly,,,
896,fly,,,
897,fly,,,
898,fly,hair,,
899,fly,,,
900,fly,leg,,
901,fly,leg,,
902,fly,leg,,
903,fly,,,
904,fly,,,
905,,,,
906,,,,
907,,,,
908,,,,
909,,,,
910,,,,
911,,,,
912,,,,
913,,,,
914,,,,
915,,,,
916,insect,,,
917,insect,,,
918,insect,,,
919,insect,,,
920,insect,,,
921,insect,,,
922,insect,,,
923,insect,,,
924,insect,,,
925,insect,,,
926,insect,,,
927,insect,,,
928,insect,,,
929,insect,,,
930,insect,,,
931,insect,,,
932,insect,,,
933,insect,,,
934,insect,,,
935,insect,,,
936,insect,,,
937,insect,,,
